Row	Prestige	Discount	white	red	pink	blue	green
m	0	red	1	1	3	0	0
m	0	blue	1	2	0	0	2
m	0	white	0	0	0	3	0
m	0	green	2	0	0	1	0
m	1	red	4	0	0	0	0
m	0	blue	1	2	1	0	1
m	0	white	0	0	2	2	0
m	0	pink	0	1	0	0	2
m	0	green	1	0	0	3	1
m	0	blue	1	0	2	0	0
m	0	red	3	0	0	0	0
m	0	pink	0	3	1	0	1
m	0	green	0	3	0	0	0
m	0	pink	1	1	0	2	1
m	0	red	1	0	1	1	1
m	0	blue	0	1	0	1	3
m	0	white	0	2	1	0	0
m	0	green	1	1	1	1	0
m	0	green	0	0	4	0	0
m	0	white	0	0	1	2	2
m	0	white	0	1	1	1	1
m	0	blue	0	0	3	0	0
m	0	pink	2	1	0	2	0
m	0	red	2	0	1	1	1
m	0	pink	2	0	0	0	2
m	0	green	1	1	1	1	0
m	0	white	0	1	1	1	2
m	0	green	0	2	2	1	0
m	1	white	0	0	0	0	4
m	0	red	2	2	0	0	0
m	1	blue	0	4	0	0	0
m	0	pink	0	0	0	0	3
m	0	white	3	0	1	1	0
m	0	pink	1	1	0	1	1
m	0	red	2	0	2	0	1
m	0	red	0	0	0	2	1
m	0	green	0	2	0	2	0
m	0	pink	0	0	0	4	0
m	0 blue	0	0	2	0	2
m	0 blue	1	1	1	0	1
t	1	green	2	0	2	3	0
t	2	white	0	5	0	0	0
t	2	pink	0	3	0	0	5
t	3	red	0	0	0	0	6
t	3	blue	0	0	0	6	0
t	1	green	3	3	0	0	2
t	2	red	1	0	0	4	2
t	1	pink	3	0	0	2	2
t	2	blue	2	1	4	0	0
t	2	pink	5	0	0	0	0
t	1	blue	0	0	3	2	3
t	2	blue	5	0	0	3	0
t	1	red	0	2	3	3	0
t	1	pink	3	0	2	0	3
t	1	white	0	2	2	0	3
t	1	white	2	3	0	3	0
t	2	pink	0	2	0	1	4
t	2	green	4	0	1	2	0
t	2	blue	0	0	0	5	0
t	2	green	0	0	0	0	5
t	2	red	3	0	5	0	0
t	1	red	2	2	3	0	0
t	2	red	0	0	5	0	0
t	1	blue	0	3	0	2	2
t	2	white	0	4	2	0	1
t	3	pink	0	0	6	0	0
t	2	green	0	0	0	5	3
t	3	white	6	0	0	0	0
t	2	white	0	5	3	0	0
t	3	green	0	0	0	0	6
v	4	white	7	0	0	0	0
v	3	blue	3	3	5	0	3
v	3	green	5	3	3	3	0
v	3	white	0	5	3	3	3
v	4	pink	0	6	3	0	3
v	4	red	0	0	0	0	7
v	5	pink	0	7	3	0	0
v	4	pink	0	7	0	0	0
v	4	red	0	3	0	3	6
v	4	blue	6	0	3	3	0
v	4	green	0	0	0	7	0
v	3	pink	3	3	0	3	5
v	4	green	3	0	0	6	3
v	5	white	3	0	7	0	0
v	3	red	3	0	3	5	3
v	4	white	3	3	6	0	0
v	5	blue	7	0	0	3	0
v	5	green	0	0	0	7	3
v	5	red	0	3	0	0	7
v	4	blue	7	0	0	0	0
n	3	n	3	0	0	3	3
n	3	n	0	3	0	3	3
n	3	n	3	0	3	3	0
n	3	n	3	3	3	0	0
n	3	n	4	0	0	4	0
n	3	n	0	3	3	0	3
n	3	n	0	4	0	0	4
n	3	n	0	0	0	4	4
n	3	n	0	4	4	0	0
n	3	n	4	0	4	0	0
